"kt Ucal" "KR"
"iG roooookie" "KR"
"MLGB BIade" "NA"
"아이지 Rook1E" "KR"
"Liquid Mickey" "NA"
"ZhanQiSuSuSu" "KR"
"SKT T1 Effort" "KR"
"Danskvand" "NA"
"나는 오늘도" "KR"
"Licorice" "NA"
"real gankster" "KR"
"SKT T1 Untara" "KR"
"Pobelter" "NA"
"잘할수있다아" "KR"
"Sheriff1" "EUW"
"19of13" "KR"
"wanxiaowan" "KR"
"YM  zhongdan" "KR"
"쪼렙이다말로하자" "KR"
"eLLi nOISE" "NA"
"LYN FrostyLoL" "EUW"
"PSG Kirei" "EUW"
"MagiFaker" "EUW"
"qweqwazxczxcsdxs" "KR"
"Pontus Dahlberg" "EUW"
"Bwipo" "EUW"
"Imaqtpie" "NA"
"CoreJangJeon" "KR"
"서귀포 시민" "KR"
"Gast&eth;n" "NA"
"UOL Vizicsacsi" "EUW"
"Linsan&iacute;ty" "NA"
"MLGB Clown" "NA"
"시언이쁨다XD" "KR"
"beansu" "EUW"
"impupupu" "KR"
"S04 Norskeren" "EUW"
"Fotune" "KR"
"dawolfsfang" "NA"
"SKT T1 Peanut" "KR"
"츠코파이" "KR"
"lur1keen" "EUW"
"19950307" "NA"
"GIA Minitroupax" "EUW"
"J&ograve;&eacute;y" "NA"
"Deft1" "KR"
"She Limp" "NA"
"Afreeca M0wgli" "KR"
"아 뭐해애" "KR"
"Jurassiq" "NA"
"WhiteKnight108" "EUW"
"Megalia" "KR"
"C9 Gun" "NA"
"초면인데친한척함" "KR"
"bbq Tempt" "KR"
"Human0id" "EUW"
"SpaghettiBud9" "NA"
"Tar2an" "KR"
"Kingen" "KR"
"Hide on bush" "KR"
"1000점달고닉변" "KR"
"H2K Jankos" "EUW"
"학식먹을나이" "KR"
"Pants are Dragon" "NA"
"G2 ZV3N" "EUW"
"Emikin" "EUW"
"IGS Nuguri" "KR"
"ASUS S&aacute;nchez" "EUW"
"CJE Racoon" "KR"
"Afreeca Kramer" "KR"
"hi its v&igrave;per" "NA"
"Kirei smurfer" "EUW"
"시시하지시시하지" "KR"
"Polish Wonderb0y" "EUW"
"Rikara" "NA"
"ZaZee" "EUW"
" 치토게 키리사키" "KR"
"Somin" "NA"
"빕이야빕빕이야빕" "KR"
"Wiggily" "NA"
"Longzhu Cuzz" "KR"
"VIP 민형" "KR"
"iWeixin VinLeous" "NA"
"NekoL" "KR"
"킴해적단보노보노" "KR"
"우르프rider" "KR"
"Afreeca Kuro" "KR"
"Kingslayer Sheep" "NA"
"Blomster Finn" "EUW"
"Ablazeolive" "NA"
"24th supp" "EUW"
"prettystar" "KR"
"진쟤승" "KR"
"LMQ Jungler" "EUW"
"LPL noob ad QAQ" "KR"
"ifhaiyouTomorrow" "KR"
"Kobbe" "EUW"
"허수님" "KR"
"Longzhu GorillA" "KR"
"SKT T1 WoIf" "KR"
"KDM Roach" "KR"
"IHG Bdd" "EUW"
"DWG BeryL" "KR"
"PlagiaT" "EUW"
"Acoldblazeolive" "NA"
"W0WFIXZ" "NA"
"Bobjenkins" "NA"
"Hungry Like" "NA"
"YaxueTudouSanyao" "KR"
"DOPELIFT" "KR"
"biubiupiu" "KR"
"DWG Hoit" "KR"
"the inescapable" "EUW"
"GangstahSwerve" "NA"
"Don Arts" "EUW"
"FallenBandit" "NA"
"qlelel" "KR"
"Emtest" "EUW"
"Apdo dogjj" "NA"
"C9 Sneaky" "NA"
"Arceent Censer" "NA"
"YserAoA" "KR"
"GO Shemek" "EUW"
"콩나물국밥주세여" "KR"
"천점찍고싶어요" "KR"
"Scarlet v3" "EUW"
"1Charm1KiIl" "EUW"
"Fanatiik" "NA"
"big brain gamer" "NA"
"Sologesang" "EUW"
"aabbccuzi" "KR"
"Mor&iuml;arty" "NA"
"bbq Totoro" "KR"
"MVP ADD" "KR"
"RB Sedrion" "EUW"
"탑그라혐오증환자" "KR"
"삼성갤럭시 cuvee" "KR"
"ROX Se0ngHwan" "KR"
"원딜둥이" "KR"
"MVP Ian" "KR"
"TheBausffs" "EUW"
"Galaxy U" "KR"
"아이센스PC방 1" "KR"
"Oddiee" "NA"
"SSG Stitch" "KR"
"소요하다 곡 작" "KR"
"점수올리고싶다" "KR"
"SKT T1 BIank" "KR"
"Jin Air S0hwan" "KR"
"Crispqaq" "KR"
"SKT T1 Huni" "KR"
"Bvoy" "KR"
"Keegun" "NA"
"사 용 수" "KR"
"깊이반성하며" "KR"
"우철짱123" "KR"
"Sertuss" "EUW"
"GIA Jiizuk&eacute;" "EUW"
"Falcon God" "NA"
"Taikki" "EUW"
"SoloQ Antihero" "NA"
"Dzonyyy" "EUW"
"Little Baiano" "NA"
"단군의청춘부재" "KR"
"Vulcan1" "NA"
"LAST DANCE 7" "KR"
"CJE Veritas" "KR"
"RyuShoryu" "NA"
"until you" "KR"
"Godbro sama" "EUW"
"Eitori" "NA"
"KT SSUN" "KR"
"QQQ XXX OOO AAA" "KR"
"ROG Sleeping" "EUW"
"find myself" "KR"
"Daarr" "NA"
"GrismoZ" "EUW"
"enaek" "NA"
"Xicoo" "EUW"
"Humble Diligent" "NA"
"BTR TraYtoN" "EUW"
"nilehlores slave" "EUW"
"dejan1" "EUW"
"Murmel" "EUW"
"i need some suga" "NA"
"Kazahana" "NA"
"민나오하요" "KR"
"푸딩은푸딩해" "KR"
"Jayms" "NA"
"Llyth" "EUW"
"Win or Learn" "NA"
"천점못찍는벌레" "KR"
"OneseIf" "NA"
"Revenge" "NA"
"LittleFrosty" "NA"
"TLB Tarzaned" "NA"
